"Please be noted that the data below is part of the used large-scale projected transportation emissions data from 3,144 counties generated by the United States Environmental Protection Agency. The original data is too large to put in GitHub. Therefore, we put it at Cornell Box, which is accessible at [https://cornell.box.com/s/h8tcryjzb73v34ddqsoletd5jse153in]",,,,,,,,,,,,,,,,,,
geoid,year,sourcetype,fueltype,regclass,roadtype,emissions_98,emissions_2,emissions_3,emissions_31,emissions_33,emissions_100,emissions_106,emissions_107,emissions_110,emissions_116,emissions_117,vehicles,vmt
2240,2016,54,2,42,3,7.1,0,0.1,0,0,0,0,0,0,0,0,3.7,6765.5
2110,2018,52,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,24.1
4005,2036,51,1,42,4,0,0,0,0,0,0,0,0,0,0,0,0,3.9
1083,2011,61,2,47,4,17843.4,32.6,137.1,0.1,8,5.6,0.8,0.3,5.2,0.1,0,551.4,9351650
4011,2011,52,2,41,4,105.5,0.2,0.5,0,0,0,0,0,0,0,0,21.1,97773.2
1103,2037,42,9,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,2013,43,1,42,4,5.2,0,0,0,0,0,0,0,0,0,0,1,4125.5
2220,2014,42,9,48,3,0,0,0,0,0,0,0,0,0,0,0,0.1,49.5
1089,2019,41,2,46,3,109.9,0.2,0.6,0,0,0,0,0,0,0,0,8.1,65199.6
1127,2016,41,1,42,5,119.6,1.4,0.1,0,0,0,0,0,0,0,0,5.3,70344.2
2068,2028,53,2,46,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0
2230,2019,41,1,46,5,0.1,0,0,0,0,0,0,0,0,0,0,1.4,86
4013,2040,52,1,42,5,38973.6,133.2,3,0.3,0.4,0.4,1.2,0.6,0.3,0.4,0.1,9834.7,35798600
1055,2047,32,5,30,5,6.4,0,0,0,0,0,0,0,0,0,0,5.4,19279.3
4001,2019,53,3,47,4,17.5,0.2,0,0,0,0,0,0,0,0,0,2.2,12359.7
5001,2023,62,2,49,2,93.8,0.3,1,0,0.2,0,0,0,0,0,0,7.8,50750.8
5013,2017,42,9,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2180,2031,32,2,30,3,5.4,0,0,0,0,0,0,0,0,0,0,5.4,16083.9
2016,2022,54,1,41,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1029,2042,43,1,42,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0
4007,2024,31,1,41,4,956.6,11.8,1.7,0,0.2,0,0,0,0,0,0,727.1,1494860
1063,2013,32,5,30,2,1.5,0,0,0,0,0,0,0,0,0,0,0.9,3401.1
1089,2008,51,1,41,3,5.3,0.3,0,0,0,0,0,0,0,0,0,1.2,4363.4
2230,2036,52,1,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1085,2047,52,2,41,3,2694,2.5,1,0,0.2,0,0,0,0,0,0,383.5,3969810
4005,2016,51,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,7.3
1115,2038,31,2,41,5,1266.7,2.4,2.2,0,0.3,0.1,0.1,0,0.1,0,0,610.5,2399110
2050,2016,54,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,2019,54,1,47,5,0.1,0,0,0,0,0,0,0,0,0,0,0.1,63.5
2185,2017,21,9,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,2011,53,2,42,3,62.7,0.1,0.3,0,0,0,0,0,0,0,0,9.2,59869.4
2180,2013,52,1,41,4,13.5,0.2,0,0,0,0,0,0,0,0,0,10.8,15089.5
1107,2018,41,1,47,5,0.2,0,0,0,0,0,0,0,0,0,0,0,85
5011,2031,42,1,42,2,14.6,0.6,0,0,0,0,0,0,0,0,0,0.5,8454.5
2016,2013,32,1,41,2,105.8,2,0.4,0,0,0,0,0,0,0,0,114.6,181707
1103,2038,41,3,47,4,32.8,0.7,0,0,0,0,0,0,0,0,0,2.6,20356.3
1123,2041,41,2,46,4,2.2,0,0,0,0,0,0,0,0,0,0,0.2,1503
2198,2016,41,9,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,2036,32,1,30,5,875.3,4.8,0.1,0,0,0,0,0,0,0,0,482.9,2366220
1059,2017,62,3,47,2,13.7,0.1,0,0,0,0,0,0,0,0,0,0.2,8021.6
2240,2016,53,1,46,2,0.5,0,0,0,0,0,0,0,0,0,0,0.6,451.3
1123,2012,42,2,48,5,136.9,0.2,0.6,0,0.1,0,0,0,0,0,0,3.7,66421.2
5001,2019,42,2,48,5,208.9,0.3,0.5,0,0.1,0,0,0,0,0,0,6.7,103023
1063,2013,61,2,46,4,1819,2.2,7.8,0,0.6,0.3,0,0,0.3,0,0,65.6,987765
5009,2014,52,9,41,2,0,0,0,0,0,0,0,0,0,0,0,0,19.7
4007,2057,61,9,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,2016,52,2,42,4,48628.1,60.7,144.4,0.2,13.8,7,0.8,0.6,6.4,0.1,0.1,4767.3,47918900
1103,2010,41,1,47,5,0.6,0,0,0,0,0,0,0,0,0,0,0,299.7
1089,2040,52,1,42,2,625.9,4.2,0.1,0,0,0,0,0,0,0,0,654.6,718146
4019,2019,51,3,47,4,82.8,1,0,0,0,0,0,0,0,0,0,5.9,48349.7
1045,2016,61,2,46,1,203.7,0.6,1,0,0.1,0.1,0,0,0.1,0,0,0,0
2170,2016,54,2,46,2,445.3,0.9,2.9,0,0.2,0.1,0,0,0.1,0,0,387,381654
4023,2017,52,1,41,5,807,7,0.7,0,0.1,0,0,0,0,0,0,153.6,746132
4021,2022,41,1,42,3,408.3,8.8,0.2,0,0,0,0,0,0,0,0,16.6,241690
1049,2013,42,9,48,2,0,0,0,0,0,0,0,0,0,0,0,0,42.4
4013,2019,61,9,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,2016,32,1,41,3,405.2,7,0.9,0,0.1,0,0,0,0,0,0,222.2,603118
1131,2012,41,1,42,3,3,0,0,0,0,0,0,0,0,0,0,0.1,2185
1055,2034,43,9,42,5,0,0,0,0,0,0,0,0,0,0,0,1.9,21649.6
1123,2054,31,1,30,1,3226.4,51.3,4,0,0.2,0.1,0,0,0.1,0,0,0,0
1003,2017,52,3,47,5,232.4,2.3,0.2,0,0,0,0,0,0,0,0,7,101660
5009,2020,62,2,46,1,7.6,0,0,0,0,0,0,0,0,0,0,0,0
2090,2018,42,1,47,5,0.5,0,0,0,0,0,0,0,0,0,0,0.1,221.8
2068,2018,52,9,42,4,0,0,0,0,0,0,0,0,0,0,0,0,6.9
1111,2018,43,2,42,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0
2050,2010,42,2,42,5,2.5,0,0,0,0,0,0,0,0,0,0,1.3,1463.6
2275,2018,53,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2275,2019,31,1,41,1,17,3.7,0.2,0,0,0,0,0,0,0,0,0,0
1003,2018,54,2,47,3,176,0.3,0.9,0,0.1,0,0,0,0,0,0,133,114126
5001,2059,54,1,42,5,18.7,0.1,0,0,0,0,0,0,0,0,0,26.4,17329.6
1045,2014,61,2,46,3,2346.8,2.7,9,0,0.7,0.4,0,0,0.3,0,0,63.8,1271600
4012,2018,52,1,46,3,190.7,3.5,0.3,0,0,0,0,0,0,0,0,52.4,150796
1105,2016,41,1,47,5,0.1,0,0,0,0,0,0,0,0,0,0,0,60.2
1047,2054,42,3,48,2,3.9,0.1,0,0,0,0,0,0,0,0,0,0.3,2623.3
2198,2025,53,9,41,2,0,0,0,0,0,0,0,0,0,0,0,0,35.9
2150,2012,42,1,46,5,0.2,0,0,0,0,0,0,0,0,0,0,0.1,93.7
1115,2038,43,2,42,5,9.6,0,0,0,0,0,0,0,0,0,0,1,7218.9
2100,2018,51,2,47,4,9.7,0,0,0,0,0,0,0,0,0,0,1,5462.6
1109,2029,51,1,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2220,2014,32,5,30,4,0.7,0,0,0,0,0,0,0,0,0,0,1.1,1710.3
1125,2030,62,2,47,4,40439.3,37.2,46.7,0.1,7.7,0.6,2.4,0.7,0.6,0.8,0.1,941.3,24517900
1095,2046,11,1,10,4,995.3,28.3,1.8,0,0.1,0.1,0,0,0,0,0,5065.1,2213190
1007,2032,51,2,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,2038,21,1,20,2,2631.6,25.2,0.4,0,0.1,0,0,0.1,0,0,0,8915.1,13525200
1001,2001,51,2,46,5,73.6,0.2,1,0,0,0,0,0,0,0,0,5.4,39549.2
1071,2002,42,1,47,3,0.1,0,0,0,0,0,0,0,0,0,0,0,84.6
5003,2004,31,1,30,3,12391.4,257,47.4,0.1,3.5,0.3,0.4,0.2,0.3,0,0,7691.5,22579800
5025,2058,52,1,42,5,47.3,0.1,0,0,0,0,0,0,0,0,0,14.4,45659.1
1123,2028,61,2,49,5,55.9,0.2,0.6,0,0.1,0,0,0,0,0,0,3.2,26763.6
1075,2019,41,2,47,5,70.8,0.2,0.4,0,0,0,0,0,0,0,0,2.4,35208.2
4001,2017,52,3,47,5,80.5,0.8,0.1,0,0,0,0,0,0,0,0,2.2,35232
4015,2023,43,3,47,4,24.2,0.4,0,0,0,0,0,0,0,0,0,1.7,16362
1039,2020,52,2,47,2,214.6,0.3,0.5,0,0.1,0,0,0,0,0,0,184.8,171922
1003,2042,32,1,41,3,1385.7,4.3,0.2,0,0,0,0,0,0,0,0,1081.6,2610210
1041,2017,52,2,46,5,376.7,0.6,1.3,0,0.1,0.1,0,0,0.1,0,0,49.7,241540
1071,2016,53,1,46,1,11.8,0.3,0,0,0,0,0,0,0,0,0,0,0
5003,2020,41,1,42,3,5.4,0.1,0,0,0,0,0,0,0,0,0,0.1,3178.6
5013,2015,42,2,46,4,8.8,0,0,0,0,0,0,0,0,0,0,0.3,5347.2
4017,2021,31,1,30,5,148694.1,1317,94.9,1.1,10.3,1.2,7.6,3.4,1.1,1.7,0.5,63712.6,304907008
1097,2013,51,1,47,3,0.2,0,0,0,0,0,0,0,0,0,0,0,127.6
1117,2007,42,2,48,1,76.5,0.4,1.9,0,0.1,0,0,0,0,0,0,0,0
5001,2031,41,2,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2164,2038,61,9,47,2,0,0,0,0,0,0,0,0,0,0,0,1.1,9280.9
2130,2031,51,1,42,3,0,0,0,0,0,0,0,0,0,0,0,0,2.6
2180,2019,51,1,47,4,0,0,0,0,0,0,0,0,0,0,0,0,5.6
2090,2012,61,1,46,1,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0
5009,2000,41,3,47,2,1,0,0,0,0,0,0,0,0,0,0,0.1,510.3
1117,2007,51,1,42,3,33.8,1.6,0.2,0,0,0,0,0,0,0,0,4.9,30302.2
1115,2033,43,9,42,3,0,0,0,0,0,0,0,0,0,0,0,1.5,20160.1
4003,2002,31,2,30,5,1916.1,107.1,13.9,0,0.4,0.1,0.2,0,0.1,0,0,667.5,3061110
1003,2000,53,3,47,5,0.4,0,0,0,0,0,0,0,0,0,0,0,166.4
1003,2018,41,2,47,1,214.6,1.1,2,0,0.2,0.1,0,0,0.1,0,0,0,0
5011,2038,61,2,49,3,3.2,0,0,0,0,0,0,0,0,0,0,2.2,1738.1
2105,2016,54,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,2020,53,2,42,5,993.8,1.1,1.6,0,0.2,0.1,0,0,0.1,0,0,90.5,1087030
1043,2038,41,2,46,4,16.5,0,0,0,0,0,0,0,0,0,0,1.1,11022
1001,2018,42,9,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2
5027,2045,61,9,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4019,2060,52,2,46,5,5489.1,3.6,2.8,0,0.5,0,0.5,0.1,0,0.2,0,1528.3,4456310
1065,2018,53,2,42,3,65.5,0.1,0.1,0,0,0,0,0,0,0,0,16.8,72337.9
2164,2052,32,1,41,5,138.3,0.3,0,0,0,0,0,0,0,0,0,29,285205
4019,2016,42,3,48,2,129.3,1.2,0.2,0,0,0,0,0,0,0,0,21.3,81747.2
1121,2054,31,1,30,5,50168.2,201.4,0.8,0.4,0.1,0.1,2.3,1.9,0.1,0.9,0.3,36675.1,165955008
1015,2020,42,2,46,1,5.9,0,0,0,0,0,0,0,0,0,0,0,0
1003,2003,54,2,46,4,67.1,0.1,0.7,0,0,0,0,0,0,0,0,72.7,58848.8
1063,2038,53,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,1.8
4007,2030,32,9,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,2032,51,1,46,3,0.1,0,0,0,0,0,0,0,0,0,0,0,29.9
1117,2036,53,9,46,4,0,0,0,0,0,0,0,0,0,0,0,11.6,128943
1093,2018,52,1,42,3,439,4.3,0.4,0,0,0,0,0,0,0,0,67.4,434706
1055,2012,43,2,46,1,89.4,0.7,0.7,0,0,0.1,0,0,0.1,0,0,0,0
1049,2045,53,2,46,1,45.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0
1003,2024,41,9,42,3,0,0,0,0,0,0,0,0,0,0,0,0,643.2
1127,2000,32,1,30,5,24983.9,912.2,124.3,0.2,7.2,0.9,1.8,0.4,0.8,0.2,0.1,2001.8,36914100
1029,2018,21,5,20,5,11.3,0.1,0,0,0,0,0,0,0,0,0,2.7,28670.9
4003,2019,54,1,42,4,330.4,7.8,1,0,0,0,0,0,0,0,0,649.5,314750
4017,2021,54,2,46,4,116.3,0.2,0.6,0,0,0,0,0,0,0,0,160.3,98247.1
5011,2034,53,9,41,2,0,0,0,0,0,0,0,0,0,0,0,0.7,5185.7
5011,2000,52,2,41,3,101.8,0.3,1,0,0,0.1,0,0,0.1,0,0,18.8,115713
1103,2022,51,1,46,3,0.3,0,0,0,0,0,0,0,0,0,0,0,168.7
4007,2012,62,3,47,2,0.2,0,0,0,0,0,0,0,0,0,0,0,113.2
2290,2019,51,1,41,2,0.9,0,0,0,0,0,0,0,0,0,0,0,0
1039,2011,52,2,47,3,854.7,1.9,6,0,0.4,0.3,0.1,0,0.3,0,0,99,590372
1021,2012,31,1,41,1,605.9,111.1,6,0,0.3,0.1,0,0,0,0,0,0,0
1057,2020,43,1,46,2,4,0.1,0,0,0,0,0,0,0,0,0,1.3,3091.2
2070,2014,43,1,46,3,0.1,0,0,0,0,0,0,0,0,0,0,0.5,102.9
1097,2015,54,1,47,3,1.4,0.1,0,0,0,0,0,0,0,0,0,1.3,937.4
5017,2017,42,3,48,4,5.7,0.1,0,0,0,0,0,0,0,0,0,0.9,3493.4
1095,2051,32,2,30,5,38.3,0.1,0,0,0,0,0,0,0,0,0,32.1,127607
1029,2016,61,3,47,1,44.1,0.2,0,0,0,0,0,0,0,0,0,0,0
2195,2040,43,2,42,4,0,0,0,0,0,0,0,0,0,0,0,0,5.3
1095,2013,41,2,46,4,35.7,0.1,0.3,0,0,0,0,0,0,0,0,1.6,21210.2
1005,2011,43,1,41,4,0.1,0,0,0,0,0,0,0,0,0,0,0,94.2
2105,2012,62,2,47,1,13,0.1,0.2,0,0,0,0,0,0,0,0,0,0
1069,2007,43,2,41,5,4.8,0,0.1,0,0,0,0,0,0,0,0,0.7,4370.2
2090,2018,31,1,30,5,107577.1,1070.6,101.4,0.8,10.5,1,6.2,2.3,0.9,1.2,0.3,52333,206136000
2130,2013,32,9,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,2000,54,2,47,4,3.1,0,0,0,0,0,0,0,0,0,0,2.1,2210
1125,2034,31,9,41,3,0,0,0,0,0,0,0,0,0,0,0,495.6,2284220
5001,2047,52,2,42,1,29.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0
1115,2033,52,9,42,4,0,0,0,0,0,0,0,0,0,0,0,125.6,843049
2068,2006,32,1,30,3,115,2.7,0.6,0,0,0,0,0,0,0,0,70.2,212547
1001,2017,32,2,30,1,4,0.8,0,0,0,0,0,0,0,0,0,0,0
5011,2007,41,2,46,4,1,0,0,0,0,0,0,0,0,0,0,0.1,621
1041,2040,42,2,42,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
4007,2024,41,2,46,3,42.1,0.1,0.2,0,0,0,0,0,0,0,0,2.4,25332.8
